repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,composes,implements,measures,overrides
0xZ0F__Z0FCourse_ReverseEngineering,,cpp,0,13,61,0,0,39,0,0,0,26,0,1,4,2,59,0
360Controller__360Controller,,cpp,34,58,1900,15,5,1611,0,4,79,499,0,55,4,79,1634,1
AGWA__git-crypt,,cpp,37,27,1271,17,0,923,0,10,102,401,0,26,4,49,1075,0
AaronFeng753__Waifu2x-Extension-GUI,,cpp,33,39,6448,2,0,5940,0,0,362,2891,0,0,4,5,5936,0
Aircoookie__WLED,,cpp,155,259,11944,493,51,9429,156,88,2178,8122,501,516,4,434,11011,30
Alex313031__thorium,,cpp,55,272,7525,1800,5,5037,31,20,311,1683,5,113,4,150,6870,16
Alinshans__MyTinySTL,,cpp,43,51,10276,1139,114,8646,212,81,572,6307,1262,242,4,672,9450,81
Arduino-IRremote__Arduino-IRremote,,cpp,8,95,1041,0,0,915,0,0,75,154,0,12,4,14,766,0
AutoHotkey__AutoHotkey,,cpp,314,150,23040,107,23,19351,317,113,1996,15586,39,1248,4,487,20926,6
BlueMatthew__WechatExporter,,cpp,92,79,4477,16,8,3934,2,29,155,1254,14,72,4,95,3962,13
Const-me__Whisper,,cpp,572,309,8961,527,24,7256,52,23,853,5358,34,325,4,359,8216,7
DarthTon__Blackbone,,cpp,378,261,16117,1067,50,13577,63,14,252,1924,320,763,4,1282,14161,52
DayBreak-u__chineseocr_lite,,cpp,135,174,9070,153,2,3416,30,31,266,2515,14,192,4,90,3576,0
FastLED__FastLED,,cpp,67,160,4092,30,11,3584,41,80,501,2881,133,221,4,124,3848,6
HKUST-Aerial-Robotics__VINS-Mono,,cpp,139,143,8621,213,21,7125,17,39,278,3798,145,130,4,180,7468,42
HackerPoet__NonEuclidean,,cpp,87,54,1189,2,16,966,55,72,206,882,6,90,4,43,1110,15
LANDrop__LANDrop,,cpp,36,29,438,9,2,356,0,0,8,79,0,8,4,22,388,2
LordNoteworthy__al-khaser,,cpp,147,158,2160,15,0,1350,0,0,110,507,1,63,4,86,1767,0
MatsuriDayo__nekoray,,cpp,228,160,4466,241,27,3412,89,37,189,1556,13,272,4,167,3794,34
MicroCBer__BetterNCM,,cpp,35,26,933,47,4,618,8,6,18,217,19,19,4,51,0,0
N64Recomp__N64Recomp,,cpp,4,11,683,17,0,531,2,5,11,344,5,15,4,19,677,0
Neargye__magic_enum,,cpp,39,33,6933,1359,82,5328,166,48,197,2143,780,381,4,532,6003,169
Nevcairiel__LAVFilters,,cpp,515,662,17661,111,53,14253,80,94,304,4440,53,1053,4,1043,15394,5
Qv2ray__Qv2ray,,cpp,419,305,14717,1569,131,11724,208,166,591,3351,307,788,4,758,12842,259
R3nzTheCodeGOD__R3nzSkin,,cpp,65,68,20622,1548,20,17168,173,308,2745,16654,377,989,4,772,18523,6
RedisInsight__RedisDesktopManager,,cpp,295,189,5394,142,35,4198,12,15,117,894,27,82,4,127,4515,82
ShiqiYu__libfacedetection,,cpp,7,25,641,0,0,468,2,0,7,362,6,12,4,8,620,0
Slackadays__Clipboard,,cpp,147,123,2772,63,3,1920,26,63,385,1252,56,120,4,136,2362,1
Squirrel__Squirrel,,cpp,41,55,1234,169,1,998,2,2,17,190,36,65,4,118,1146,0
TarsCloud__Tars,,cpp,6,11,263,14,2,235,0,1,2,52,0,2,4,17,249,0
Tatsu-syo__noMeiryoUI,,cpp,54,47,1086,6,6,801,0,7,90,409,0,4,4,17,0,4
Tencent__libco,,cpp,25,22,1093,2,4,738,0,6,203,730,11,14,4,80,1000,2
Tencent__rapidjson,,cpp,224,125,12293,1084,48,10668,110,59,1215,7382,1201,606,4,1032,10874,17
TheAssassin__AppImageLauncher,,cpp,69,56,942,33,6,657,1,1,63,259,5,8,4,38,819,0
TigerVNC__tigervnc,,cpp,1229,497,18908,524,195,14724,40,626,3588,11445,47,904,4,497,16132,418
TranslucentTB__TranslucentTB,,cpp,427,211,5206,235,15,4129,48,20,165,771,101,155,4,177,4396,1
ValveSoftware__openvr,,cpp,271,230,42940,3111,31,26642,803,89,2218,10743,38,2601,4,4864,29552,87
WebAssembly__wabt,,cpp,363,172,23147,899,94,21612,2215,1617,4472,15679,352,2726,4,712,23101,1607
WiseLibs__better-sqlite3,,cpp,4,10,28343,66,3,21659,1,3,8809,29818,4,661,4,602,0,6
acaudwell__Gource,,cpp,97,68,5663,12,48,4789,24,85,855,2483,0,153,4,122,4609,178
albertlauncher__albert,,cpp,206,126,1977,121,3,1383,3,2,44,390,0,57,4,101,1573,3
alibaba__AndFix,,cpp,20,20,592,13,4,348,0,0,3,142,0,14,4,45,408,0
amhndu__SimpleNES,,cpp,69,43,1187,88,8,931,7,1,70,328,0,37,4,50,1022,6
android__ndk-samples,,cpp,308,562,14817,1923,23,14024,680,182,909,7417,3358,1021,4,1172,16760,74
ange-yaghi__engine-sim,,cpp,402,207,7394,326,97,6006,53,50,900,4093,20,315,4,295,6255,302
applenob__Cpp_Primer_Practice,,cpp,50,83,858,3,8,626,16,23,63,301,4,34,4,27,752,11
aristocratos__btop,,cpp,61,48,7946,1435,21,5801,94,42,476,4100,944,333,4,472,6999,7
asmuth__clip,,cpp,464,202,7342,773,3,5512,395,340,680,3095,63,605,4,160,6384,4
async-profiler__async-profiler,,cpp,237,113,5994,10,37,4905,40,102,1443,4280,1,236,4,213,5396,58
barry-ran__QtScrcpy,,cpp,33,41,1046,3,3,791,1,0,58,229,0,7,4,26,845,6
changkun__modern-cpp-tutorial,,cpp,9,77,602,31,2,397,2,5,23,215,44,13,4,29,589,1
cmderdev__cmder,,cpp,1,5,134,0,0,120,1,0,0,42,0,2,4,4,134,0
