repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
0x7c13__Notepads,,csharp,36,213,169,195,63,1657,60,191,1120,86,1598,236,2473,22
1Remote__1Remote,,csharp,53,227,283,351,80,2265,159,203,1298,318,1660,314,2927,130
2dust__clashN,,csharp,9,71,84,101,1,487,5,45,515,60,421,87,785,0
2dust__v2rayN,,csharp,14,108,181,197,12,893,30,91,1253,265,833,225,1415,0
AssetRipper__AssetRipper,,csharp,162,1050,1519,1822,733,5822,312,1974,3623,540,6732,1618,11559,342
AutoDarkMode__Windows-Auto-Night-Mode,,csharp,31,147,216,260,20,1514,30,80,1164,191,1377,157,2510,18
AutoFixture__AutoFixture,,csharp,79,1143,1467,1836,435,7064,250,7954,3939,743,4064,859,15383,101
AutoMapper__AutoMapper,,csharp,29,495,5071,8760,1595,5468,974,2155,1806,129,2612,1227,15198,1060
AvaloniaUI__Avalonia,,csharp,415,3368,5184,6665,2647,33776,2640,13564,28117,5481,26936,11241,53194,1853
Azure__DotNetty,,csharp,138,898,1164,1552,618,12579,2056,2444,13689,8236,11151,3795,19971,1709
BartoszCichecki__LenovoLegionToolkit,,csharp,63,505,688,846,117,3079,151,417,2216,130,2147,574,5545,103
BepInEx__BepInEx,,csharp,38,117,159,204,28,798,24,99,475,61,728,92,1415,13
BeyondDimension__SteamTools,,csharp,256,888,692,862,181,4419,249,216,1649,366,3726,393,6090,67
BililiveRecorder__BililiveRecorder,,csharp,58,334,388,502,104,1601,80,313,505,665,1334,418,2656,11
BluePointLilac__ContextMenuManager,,csharp,7,110,212,285,167,1219,4,279,825,204,676,162,1543,11
BornToBeRoot__NETworkManager,,csharp,46,636,570,606,161,4349,22,450,1730,165,2760,422,5354,0
ClosedXML__ClosedXML,,csharp,99,768,880,1008,381,8598,2731,2270,9210,734,7995,2299,16702,238
Code52__carnac,,csharp,16,68,68,85,14,369,21,107,157,51,191,78,521,2
Codeusa__Borderless-Gaming,,csharp,13,35,46,59,0,410,6,27,300,81,496,39,693,0
CommunityToolkit__WindowsCommunityToolkit,,csharp,341,1414,1264,1464,421,10129,781,2219,7116,886,9136,1193,16092,234
Cysharp__MagicOnion,,csharp,122,631,1248,1531,304,6131,229,971,4194,1780,6370,2055,10980,77
Cysharp__UniTask,,csharp,22,214,760,1032,218,7153,775,1164,6869,4617,6592,409,9700,153
DapperLib__Dapper,,csharp,21,152,354,551,69,1722,92,291,1073,134,1990,160,3336,28
Davidobot__BetterJoy,,csharp,4,13,19,25,0,430,2,19,209,293,282,25,428,0
DevToys-app__DevToys,,csharp,118,563,554,634,268,2702,308,255,1403,162,2370,614,4673,85
DotNetNext__SqlSugar,,csharp,647,3675,2361,3004,476,12994,2012,2191,9810,1338,18312,1816,26513,1184
Dotnet-Boxed__Templates,,csharp,47,178,189,248,18,527,3,25,82,233,519,79,997,0
EduardoPires__EquinoxProject,,csharp,34,64,64,109,10,170,0,16,61,0,154,44,401,0
ElectronNET__Electron.NET,,csharp,11,184,165,169,9,613,11,60,715,30,504,107,1151,0
EllanJiang__GameFramework,,csharp,30,330,287,398,145,3444,281,716,1942,321,5293,531,5641,154
EsotericSoftware__spine-runtimes,,csharp,66,285,457,517,149,4829,218,375,2716,3290,3364,1168,5118,123
EventStore__EventStore,,csharp,358,2703,4657,6216,1702,29830,1406,9348,24712,12378,19459,7648,45003,905
ExcelDataReader__ExcelDataReader,,csharp,20,178,179,202,85,998,56,236,840,57,846,90,1719,40
ExtendRealityLtd__VRTK,,csharp,2,8,9,9,0,91,0,1,13,0,12,2,106,0
FastEndpoints__FastEndpoints,,csharp,123,330,572,704,69,975,2,182,171,45,936,154,2580,8
File-New-Project__EarTrumpet,,csharp,41,309,329,389,146,1571,31,175,691,109,1331,354,2513,20
Flow-Launcher__Flow.Launcher,,csharp,77,321,378,488,138,2355,55,314,1597,214,2256,456,3905,40
FluentValidation__FluentValidation,,csharp,12,213,383,505,68,1897,81,1598,2019,87,1151,121,3782,7
Fody__Fody,,csharp,31,131,113,37,14,447,8,74,259,32,312,32,891,22
GhostPack__Rubeus,,csharp,18,155,251,316,73,1936,213,478,1608,734,2166,544,2758,96
GhostPack__Seatbelt,,csharp,14,164,450,626,321,1285,14,189,598,126,1737,539,2050,199
HJLebbink__asm-dude,,csharp,35,178,309,336,112,2622,50,317,3429,2722,2377,453,3736,90
HMBSbige__ShadowsocksR-Windows,,csharp,21,164,169,200,50,1834,19,127,1263,387,1661,181,2471,113
HandyOrg__HandyControl,,csharp,113,794,742,842,104,6578,168,302,2488,951,5058,457,8071,143
HangfireIO__Hangfire,,csharp,49,494,626,747,204,4629,248,1127,4119,436,4170,1088,8122,159
HearthSim__Hearthstone-Deck-Tracker,,csharp,111,647,740,924,89,5759,119,532,4606,1848,4807,915,8405,59
Humanizr__Humanizer,,csharp,89,476,450,434,107,3295,72,112,1763,30,4736,44,6809,158
Jackett__Jackett,,csharp,44,293,395,484,190,1983,113,628,1890,1194,2097,916,3447,216
