repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed,n_type_inbound,n_type_outbound,n_type_transit,n_type_hidden,pct_type_classified,pkg_pct_inbound_mean,pkg_pct_outbound_mean,pkg_pct_transit_mean,pkg_pct_hidden_mean,pkg_pct_inbound_max,pkg_pct_outbound_max,pkg_pct_transit_max,pkg_pct_hidden_max,pkg_profile_entropy_mean,pct_pkg_dominant_inbound,pct_pkg_dominant_outbound,pct_pkg_dominant_transit,pct_pkg_dominant_hidden
0x7c13__Notepads,,csharp,1,36,213,23,169,1135,1031,104,2120,522,1598,36,213,0,169,195,63,1657,60,191,1120,86,1598,236,6.71598,3,100,12.9889,3.08876,0,91,0.986784,0,18,1.92475,0.986784,1,37,2.22734,1.40793,1,9,0.164751,21,0.372781,0.372781,14,2,1.30435,0,0,0,0,2,2,0.956522,2,10,7.34783,14,58,0,0,0,5.91667,13,18,6.71598,3,100,3.0793,2,8,32,3.66299,18.6149,37.9098,188.237,3.84074,2112.01,0.0627456,474.524,4726.58,0,1,1,1,27,16,13,113,1,0.114553,0.125359,0.186065,0.574023,0.642857,1,1,1,0.689044,0.0909091,0.136364,0.0909091,0.681818
1Remote__1Remote,,csharp,1,53,227,54,283,1279,1097,165,2646,986,1660,53,227,0,283,351,80,2265,159,203,1298,318,1660,314,4.45936,3,42,5.21492,3.4841,1,122,1.01486,0,23,1.82175,1.01486,0,88,3.28961,1.29789,1,10,0.322515,25,0.282686,0.282686,18,4,1.58108,0,0,0,0,2,5,0.962963,2,8,5.22222,11,28,0,0,0,4.28302,9,18,4.51943,3,43,2.94214,2,6,197,6.43168,20.031,42.1212,220.682,3.53416,2282.26,0.0735607,558.643,4695.33,0,1,1,1,39,52,60,132,1,0.187596,0.226341,0.194195,0.391868,1,1,1,1,0.887658,0.156863,0.176471,0.0784314,0.588235
2dust__clashN,,csharp,1,9,71,9,84,344,303,40,564,143,421,9,71,0,84,101,1,487,5,45,515,60,421,87,4.08333,1.5,62,7.77084,1.70238,0,38,1.49709,1,12,1.85835,1.49709,1,62,3.82464,1.22384,1,5,0.41958,6,0.0119048,0.0119048,1,1,1,0,0,0,0,2,1,0.777778,7,7,9.33333,22,22,0,0,0,7.88889,19,19,4.11905,1.5,62,3.20058,2,7,34,3.86591,20.5182,38.736,192.814,3.55431,1657.98,0.0642712,482.938,3426.78,0,1,1,1,9,18,9,48,1,0.0668262,0.207519,0.164717,0.560938,0.3,0.7,0.666667,1,0.939257,0,0.111111,0.222222,0.666667
2dust__v2rayN,,csharp,1,14,108,13,181,604,549,50,1122,289,833,14,108,0,181,197,12,893,30,91,1253,265,833,225,3.30939,0,61,7.92669,1.59669,0,103,2.0745,1,45,2.9894,2.0745,1,123,6.77252,1.37914,1,5,0.916955,13,0.0662983,0.0662983,8,1,1,0,0,0,0,2,2,0.692308,2,7,13.9231,22,96,0,0,0,7.71429,15,23,3.33702,0,61,4.0596,2,10,80,5.879,24.4372,55.0601,295.45,4.55782,3693.51,0.0984833,761.538,8107.7,0,1,1,1,15,36,12,118,1,0.142943,0.318896,0.0710701,0.467091,1,1,0.409091,1,0.530693,0.166667,0.333333,0.0833333,0.416667
AssetRipper__AssetRipper,,csharp,1,162,1050,172,1519,4879,4077,737,7675,943,6732,162,1050,0,1519,1822,733,5822,312,1974,3623,540,6732,1618,3.16919,1,73,5.10763,0.620803,0,82,0.74257,0,14,1.27526,0.74257,0,56,2.16139,1.37979,1,17,0.572641,48,0.482554,0.482554,330,6,1.33241,0,0,0,0,2,6,0.976744,3,19,8.81977,12,468,0,0,0,6.48148,12,186,3.22317,1,73,2.31728,1,5,56,3.32427,14.6345,31.4947,146.783,2.7762,1450.03,0.0489277,330.343,1747.85,0,1,1,1,123,221,85,1090,1,0.15876,0.238208,0.112231,0.490801,1,1,1,1,0.81112,0.113924,0.170886,0.0379747,0.677215
AutoDarkMode__Windows-Auto-Night-Mode,,csharp,1,31,147,34,216,1107,1018,89,1784,407,1377,31,147,0,216,260,20,1514,30,80,1164,191,1377,157,5.125,2,44,8.06789,1.88426,0,35,1.05149,0,29,1.81285,1.05149,0,87,3.31295,1.2439,1,9,0.469287,8,0.0925926,0.0925926,7,2,1.36842,0,0,0,0,2,2,0.735294,3,10,6.35294,13,24,0,0,0,4.74194,10,16,5.125,2,44,2.9991,2,6,47,3.84325,20.2819,41.3713,211.14,3.30041,1980.26,0.07038,515,3894.89,0,1,1,1,30,52,23,111,1,0.114406,0.203218,0.0891767,0.593199,0.666667,1,1,1,0.679782,0.0909091,0.212121,0.0909091,0.606061
AutoFixture__AutoFixture,,csharp,1,79,1143,56,1467,6694,5995,697,4434,370,4064,79,1143,0,1467,1836,435,7064,250,7954,3939,743,4064,859,4.56169,2,471,13.8132,0.252215,0,13,0.588437,0,8,0.78158,0.588437,0,282,4.64467,0.607111,0,12,2.00811,42,0.296524,0.296524,105,3,1.26897,0,0,0,0,2,3,0.928571,2,15,26.1964,57,181,0,0,0,14.4684,39,139,4.58555,2,471,3.19779,3,6,131,2.85482,12.6324,21.2924,84.9275,0.831574,173.855,0.0283092,171.823,321.51,0,1,1,1,314,368,74,711,1,0.145882,0.184264,0.0890311,0.580823,0.837662,0.8125,1,1,0.826289,0.153846,0.134615,0.0769231,0.634615
AutoMapper__AutoMapper,,csharp,1,29,495,96,5071,4474,3993,472,3606,994,2612,29,495,0,5071,8760,1595,5468,974,2155,1806,129,2612,1227,0.880497,0,52,2.14241,0.196017,0,20,0.403666,0,16,0.736217,0.403666,0,350,7.33591,0.583818,0,7,0.129779,14,0.314534,0.314534,630,4,1.48282,0,0,0,0,2,5,0.916667,1,32,52.7292,105,1321,0,0,0,17.069,55,111,0.884441,0,52,1.50045,1,4,37,2.32201,10.581,19.9822,79.1353,0.676285,175.345,0.0263784,182.661,209.281,0,1,1,1,47,850,11,4163,1,0.0225475,0.202744,0.00308908,0.771619,0.333333,1,0.0909091,1,0.684226,0,0.0227273,0,0.977273
Azure__DotNetty,,csharp,1,138,898,115,1164,9383,8320,1038,14347,3196,11151,138,898,0,1164,1552,618,12579,2056,2444,13689,8236,11151,3795,8.03952,3,345,18.8544,2.7457,1,111,1.45892,1,25,2.085,1.45892,0,322,7.09574,1.18843,1,11,2.57697,175,0.530928,0.530928,61,7,2.09928,0,0,0,0,2,6,0.886957,3,9,10.1217,33,80,0,0,0,6.50725,20,57,8.0799,3,345,2.33902,1,6,87,4.1209,12.2688,25.463,116.013,2.15195,1505.48,0.038671,302.206,1320.63,0,1,1,1,126,433,170,435,1,0.0478316,0.569651,0.0842446,0.298272,0.392857,1,0.6,1,0.820743,0.0102041,0.561224,0.0306122,0.397959
BartoszCichecki__LenovoLegionToolkit,,csharp,1,63,505,65,688,2264,2054,178,2962,815,2147,63,505,0,688,846,117,3079,151,417,2216,130,2147,574,3.24419,2,34,4.34871,1.18459,0,26,0.978799,1,23,1.6297,0.978799,0,253,5.9073,0.948322,1,7,0.159509,6,0.170058,0.170058,12,3,1.5045,0,0,0,0,2,5,0.984615,3,14,10.4923,27,75,0,0,0,8.01587,22,38,3.2907,2,34,2.51811,2,6,95,4.04356,15.5482,30.3471,144.655,2.27007,1056.93,0.0482182,353.598,1704.44,0,1,1,1,70,153,97,368,1,0.0810844,0.205112,0.188014,0.525789,1,0.75,1,1,0.818149,0.0322581,0.209677,0.16129,0.596774
