repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
527515025__springBoot,abel-util,java,1,12,2,12,11,0,68,23,8,13,33,46,5,100,0
527515025__springBoot,springWebSocket,java,1,14,4,14,13,0,28,8,2,3,7,11,3,58,0
527515025__springBoot,springboot-Cache,java,1,18,7,18,17,1,44,14,0,6,21,20,8,76,0
527515025__springBoot,springboot-Cache2,java,1,17,9,18,16,0,41,14,0,7,25,15,6,71,0
527515025__springBoot,springboot-Quartz,java,1,9,0,8,8,0,28,4,0,4,13,12,0,41,0
527515025__springBoot,springboot-SpringSecurity0,java,1,23,7,28,22,0,59,14,2,8,26,22,1,109,0
527515025__springBoot,springboot-SpringSecurity1,java,1,25,12,34,24,0,95,16,1,11,42,38,5,161,0
527515025__springBoot,springboot-dubbo,java,1,11,3,12,10,0,72,13,0,0,46,31,6,97,0
527515025__springBoot,springboot-dynamicDataSource,java,1,19,13,24,18,0,99,21,1,22,63,44,13,143,0
527515025__springBoot,springboot-elasticsearch,java,1,14,6,14,13,0,69,10,0,9,38,40,5,91,0
527515025__springBoot,springboot-jpa,java,1,19,7,18,18,1,72,10,0,4,38,23,2,113,0
527515025__springBoot,springboot-kafka,java,1,9,0,8,8,0,19,4,0,3,7,3,1,27,0
527515025__springBoot,springboot-mybatis,java,1,21,6,22,20,1,81,9,0,3,41,25,2,128,0
527515025__springBoot,springboot-mybatis2,java,1,9,3,8,8,0,36,7,0,5,19,18,5,58,0
527515025__springBoot,springboot-neo4j,java,1,20,12,22,19,2,108,19,4,27,65,39,12,162,0
527515025__springBoot,springboot-redis-queue,java,1,11,2,10,10,0,30,5,0,6,13,14,2,41,0
527515025__springBoot,springboot-rocketmq-ali,java,1,11,2,12,10,0,46,6,0,2,33,15,5,59,0
527515025__springBoot,springboot-rocketmq,java,1,11,5,10,10,0,19,5,0,1,14,1,2,29,0
527515025__springBoot,springboot-shiro,java,1,30,21,44,29,0,233,43,1,42,167,102,28,359,0
527515025__springBoot,springboot-shiro2,java,1,38,13,51,39,0,221,27,12,51,123,116,2,326,0
527515025__springBoot,springboot-springCloud,java,1,9,3,8,8,0,13,4,1,0,6,5,1,26,0
527515025__springBoot,springboot-springSecurity2,java,1,25,12,30,24,0,71,16,0,12,25,23,8,128,0
527515025__springBoot,springboot-springSecurity3,java,1,27,12,38,26,0,108,18,3,12,48,44,4,189,0
527515025__springBoot,springboot-springSecurity4,java,1,32,12,44,31,0,164,25,2,21,84,73,14,270,0
527515025__springBoot,springboot-swagger-ui,java,1,20,8,20,19,1,84,19,0,13,42,38,8,138,0
Activiti__Activiti,activiti-api,java,1,18,1,23,19,5,71,6,0,2,2,3,3,85,0
Activiti__Activiti,activiti-core-common,java,1,7,1,4,6,0,10,3,1,4,4,5,0,20,0
