repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed
527515025__springBoot,abel-util,java,1,7,6,6,6,51,33,18,63,17,46,1,12,2,12,11,0,68,23,8,13,33,46,5,8.5,7,18,5.1559,2.83333,2,7,0.254902,0,4,0.709685,0.254902,0,3,0.681496,0.901961,1,3,1.94118,6,0,0,0,,,0.333333,1,0.333333,1,5,2,8.5,7,18,2.27451,2,5,8,1.70442,10.1212,30.6061,111.88,4.11737,759.235,0.0372932,314.537,2373.33,1,0,1,1
527515025__springBoot,springWebSocket,java,1,8,7,7,7,23,16,7,16,5,11,1,14,4,14,13,0,28,8,2,3,7,11,3,3.28571,3,7,1.66599,0.714286,1,2,0.130435,0,1,0.336781,0.130435,0,2,0.447636,0.478261,0,2,1.4,3,0,0,0,,,0.571429,3,0.571429,2,6,3,3.28571,3,7,1.21739,1,2,2,0.412471,10.1875,22.5,82.7161,1.6867,258.846,0.027572,258.524,1175.11,1,0,1,1
527515025__springBoot,springboot-Cache,java,1,10,9,9,9,33,25,8,31,11,20,1,18,7,18,17,1,44,14,0,6,21,20,8,3.66667,3,10,2.62467,1.22222,1,5,0.181818,0,1,0.385695,0.181818,0,2,0.457566,0.606061,1,4,1.90909,3,0.111111,0.111111,1,1,1,0.777778,3,0.777778,4,7,4,3.66667,3,10,2.12121,1,4,12,2.63723,11.0455,30.0909,114.049,1.50278,226.276,0.0380165,347.434,671.038,1,1,0,1
527515025__springBoot,springboot-Cache2,java,1,9,9,8,9,29,20,9,27,12,15,1,17,9,18,16,0,41,14,0,7,25,15,6,3.22222,2,11,2.93552,1.33333,1,5,0.241379,0,2,0.56661,0.241379,0,1,0.42792,0.517241,0,4,2.08333,4,0,0,0,,,1,2,1,5,6,3,3.22222,2,11,2.27586,1,5,12,2.77795,11.95,32.6,132.635,1.86095,451.531,0.0442117,356.755,1125.98,1,0,0,1
527515025__springBoot,springboot-Quartz,java,1,6,4,5,4,17,13,4,23,11,12,1,9,0,8,8,0,28,4,0,4,13,12,0,4.25,3.5,8,2.48747,2.75,2,7,0.235294,0,2,0.545507,0.235294,0,1,0.424183,0.705882,1,3,1.18182,2,0,0,0,,,0,0,0,0,6,3,4.25,3.5,8,3.82353,1,10,23,5.62803,14.9231,49.7692,222.651,2.10711,621.474,0.0742171,382.737,1762.89,0,0,0,0
527515025__springBoot,springboot-SpringSecurity0,java,1,10,14,9,14,45,32,13,36,14,22,1,23,7,28,22,0,59,14,2,8,26,22,1,3.21429,2,9,2.20967,1,1,4,0.177778,0,5,0.796908,0.177778,0,2,0.436597,0.488889,0,3,1.85714,3,0,0,0,,,0.5,3,0.5,2,6,3,3.21429,2,9,1.75556,1,4,12,2.23264,9.51613,24.4194,94.9153,1.90529,708.293,0.0316384,204.326,288.461,1,0,1,1
527515025__springBoot,springboot-SpringSecurity1,java,1,9,17,8,17,71,56,15,62,24,38,1,25,12,34,24,0,95,16,1,11,42,38,5,4.17647,3,11,2.854,1.41176,1,5,0.15493,0,6,0.798729,0.15493,0,2,0.398868,0.535211,0,3,1.75,3,0,0,0,,,0.705882,5,0.705882,3,6,3,4.17647,3,11,1.47887,1,3,12,1.68556,8.84906,20.7547,76.8517,1.51652,303.861,0.0256172,158.457,344.141,1,0,1,1
527515025__springBoot,springboot-dubbo,java,1,6,6,5,6,53,50,3,50,19,31,1,11,3,12,10,0,72,13,0,0,46,31,6,8.83333,8,15,3.80424,3.16667,2.5,8,0,0,0,0,0,0,0,0,0.584906,1,1,2.42105,3,0,0,0,,,0.5,1,0.5,1,6,3,8.83333,8,15,0.698113,1,1,1,0.459076,6.82353,15.8529,50.9627,1.22884,112.91,0.0169876,47.725,63.6334,1,0,0,1
527515025__springBoot,springboot-dynamicDataSource,java,1,8,12,7,12,68,58,10,75,31,44,1,19,13,24,18,0,99,21,1,22,63,44,13,5.66667,5,15,3.61325,2.58333,1,11,0.323529,0,2,0.716223,0.323529,0,5,0.898384,0.647059,1,3,2.03226,5,0,0,0,,,1.08333,5,1.08333,4,5,2,5.66667,5,15,1.57353,1,3,13,2.25125,8.375,20.3125,69.7071,1.277,132.352,0.0232357,121.114,195.054,1,0,1,1
527515025__springBoot,springboot-elasticsearch,java,1,8,7,7,7,42,36,6,67,27,40,1,14,6,14,13,0,69,10,0,9,38,40,5,6,2,19,6.18755,3.85714,5,9,0.214286,0,2,0.513425,0.214286,0,1,0.410326,0.952381,1,6,1.40741,5,0,0,0,,,0.857143,5,0.857143,2,5,2,6,2,19,2.11905,1,5,20,3.54698,12.4839,38.5161,178.555,2.33434,1332.46,0.0595184,446.074,1247.68,1,0,0,1
